Dataset,Seed,Model,Privacy Setting,Accuracy,F1 Score,Precision,Recall,Train Time (s)
COVID-19,42,Logistic Regression,Baseline (No Privacy),0.865,0.3967828418230563,0.2534246575342466,0.9135802469135802,0.03511691093444824
COVID-19,42,Federated Logistic Regression,"FL (5 clients, 20 rounds)",0.8636,0.3953900709219858,0.2519774011299435,0.9176954732510288,0.18734002113342285
COVID-19,43,Logistic Regression,Baseline (No Privacy),0.8616,0.3897707231040564,0.24803591470258138,0.9094650205761317,0.02444314956665039
COVID-19,43,Federated Logistic Regression,"FL (5 clients, 20 rounds)",0.8623,0.3904382470119522,0.24873096446700507,0.9074074074074074,0.1863081455230713
COVID-19,44,Logistic Regression,Baseline (No Privacy),0.862,0.3909973521624007,0.24887640449438203,0.911522633744856,0.02189493179321289
COVID-19,44,Federated Logistic Regression,"FL (5 clients, 20 rounds)",0.866,0.39748201438848924,0.25431530494821636,0.9094650205761317,0.2082500457763672
COVID-19,45,Logistic Regression,Baseline (No Privacy),0.8654,0.39369369369369367,0.2520184544405998,0.8991769547325102,0.025787830352783203
COVID-19,45,Federated Logistic Regression,"FL (5 clients, 20 rounds)",0.8591,0.3839090511587232,0.24375347029428096,0.9032921810699589,0.20711016654968262
COVID-19,46,Logistic Regression,Baseline (No Privacy),0.8631,0.38747203579418343,0.24757004002287022,0.8909465020576132,0.027711868286132812
COVID-19,46,Federated Logistic Regression,"FL (5 clients, 20 rounds)",0.8775,0.40963855421686746,0.2674638137193203,0.8744855967078189,0.20480012893676758
